"","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
"406",25,"Yes","Travel Rarely",688,"R&D",3,3,"Medical Sciences",1,"Male",91,3,1,"Laboratory Technician",1,"Married",4031,9396,5,"No",13,3,3,1,6,5,3,2,2,0,2
"407",52,"No","Travel Rarely",319,"R&D",3,3,"Medical Sciences",4,"Male",39,2,3,"Manufacturing Director",3,"Married",7969,19609,2,"Yes",14,3,3,0,28,4,3,5,4,1,4
"408",45,"No","Travel Rarely",192,"R&D",10,2,"Life Sciences",1,"Male",69,3,1,"Research Scientist",4,"Married",2654,9655,3,"No",21,4,4,2,8,3,2,2,2,0,2
"409",52,"No","Travel Rarely",1490,"R&D",4,2,"Life Sciences",4,"Female",30,3,4,"Manager",4,"Married",16555,10310,2,"No",13,3,4,0,31,3,1,5,2,1,4
"410",42,"No","Travel Frequently",532,"R&D",29,2,"Life Sciences",1,"Female",92,3,2,"Research Scientist",3,"Divorced",4556,12932,2,"No",11,3,2,1,19,3,3,5,4,0,2
"411",30,"No","Travel Rarely",317,"R&D",2,3,"Life Sciences",3,"Female",43,3,2,"Manufacturing Director",4,"Single",6091,24793,2,"No",20,4,3,0,11,2,3,5,4,0,2
"412",60,"No","Travel Rarely",422,"R&D",7,3,"Life Sciences",1,"Female",41,3,5,"Manager",1,"Married",19566,3854,5,"No",11,3,4,0,33,5,1,29,8,11,10
"413",46,"No","Travel Rarely",1485,"R&D",18,3,"Medical Sciences",3,"Female",87,3,2,"Manufacturing Director",3,"Divorced",4810,26314,2,"No",14,3,3,1,19,5,2,10,7,0,8
"414",42,"No","Travel Frequently",1368,"R&D",28,4,"Technical",4,"Female",88,2,2,"Healthcare Representative",4,"Married",4523,4386,0,"No",11,3,4,3,7,4,4,6,5,0,4
"415",24,"Yes","Travel Rarely",1448,"Sales",1,1,"Technical",1,"Female",62,3,1,"Sales Representative",2,"Single",3202,21972,1,"Yes",16,3,2,0,6,4,3,5,3,1,4
"416",34,"Yes","Travel Frequently",296,"Sales",6,2,"Marketing",4,"Female",33,1,1,"Sales Representative",3,"Divorced",2351,12253,0,"No",16,3,4,1,3,3,2,2,2,1,0
"417",38,"No","Travel Frequently",1490,"R&D",2,2,"Life Sciences",4,"Male",42,3,1,"Laboratory Technician",4,"Married",1702,12106,1,"Yes",23,4,3,1,1,3,3,1,0,0,0
"418",40,"No","Travel Rarely",1398,"Sales",2,4,"Life Sciences",3,"Female",79,3,5,"Manager",3,"Married",18041,13022,0,"No",14,3,4,0,21,2,3,20,15,1,12
"419",26,"No","Travel Rarely",1349,"R&D",23,3,"Life Sciences",1,"Female",90,3,1,"Research Scientist",4,"Divorced",2886,3032,1,"No",22,4,2,2,3,3,1,3,2,0,2
"420",30,"No","Non Travel",1400,"R&D",3,3,"Life Sciences",3,"Male",53,2,1,"Laboratory Technician",4,"Married",2097,16734,4,"No",15,3,3,1,9,3,1,5,3,1,4
"421",29,"No","Travel Rarely",986,"R&D",3,4,"Medical Sciences",2,"Male",93,2,3,"Research Director",3,"Married",11935,21526,1,"No",18,3,3,0,10,2,3,10,2,0,7
"422",29,"Yes","Travel Rarely",408,"R&D",25,5,"Technical",3,"Female",71,2,1,"Research Scientist",2,"Married",2546,18300,5,"No",16,3,2,0,6,2,4,2,2,1,1
"423",19,"Yes","Travel Rarely",489,"HR",2,2,"Technical",1,"Male",52,2,1,"HR",4,"Single",2564,18437,1,"No",12,3,3,0,1,3,4,1,0,0,0
"424",30,"No","Non Travel",1398,"Sales",22,4,"Other",3,"Female",69,3,3,"Sales Executive",1,"Married",8412,2890,0,"No",11,3,3,0,10,3,3,9,8,7,8
"425",57,"No","Travel Rarely",210,"Sales",29,2,"Marketing",3,"Male",56,2,4,"Manager",3,"Divorced",14118,22102,3,"No",12,3,3,1,32,3,2,1,0,0,0
"426",50,"No","Travel Rarely",1099,"R&D",1,4,"Life Sciences",2,"Male",88,3,4,"Manager",3,"Married",17046,9314,0,"No",15,3,2,1,28,2,3,27,10,15,7
"427",30,"No","Non Travel",1116,"R&D",2,3,"Medical Sciences",3,"Female",49,3,1,"Laboratory Technician",4,"Single",2564,7181,0,"No",14,3,4,0,12,3,2,11,7,6,7
"428",60,"No","Travel Frequently",1499,"Sales",28,3,"Marketing",3,"Female",80,2,3,"Sales Executive",1,"Married",10266,2845,4,"No",19,3,4,0,22,5,4,18,13,13,11
"429",47,"No","Travel Rarely",983,"R&D",2,2,"Medical Sciences",1,"Female",65,3,2,"Manufacturing Director",4,"Divorced",5070,7389,5,"No",13,3,3,3,20,2,3,5,0,0,4
"430",46,"No","Travel Rarely",1009,"R&D",2,5,"Life Sciences",1,"Male",51,3,4,"Research Director",3,"Married",17861,2288,6,"No",13,3,3,0,26,2,1,3,2,0,1
"431",35,"No","Travel Rarely",144,"R&D",22,3,"Life Sciences",4,"Male",46,1,1,"Laboratory Technician",3,"Single",4230,19225,0,"No",15,3,3,0,6,2,3,5,4,4,3
"432",54,"No","Travel Rarely",548,"R&D",8,4,"Life Sciences",3,"Female",42,3,2,"Laboratory Technician",3,"Single",3780,23428,7,"No",11,3,3,0,19,3,3,1,0,0,0
"433",34,"No","Travel Rarely",1303,"R&D",2,4,"Life Sciences",4,"Male",62,2,1,"Research Scientist",3,"Divorced",2768,8416,1,"No",12,3,3,1,14,3,3,7,3,5,7
"434",46,"No","Travel Rarely",1125,"Sales",10,3,"Marketing",3,"Female",94,2,3,"Sales Executive",4,"Married",9071,11563,2,"Yes",19,3,3,1,15,3,3,3,2,1,2
"435",31,"No","Travel Rarely",1274,"R&D",9,1,"Life Sciences",3,"Male",33,3,3,"Manufacturing Director",2,"Divorced",10648,14394,1,"No",25,4,4,1,13,6,4,13,8,0,8
"436",33,"Yes","Travel Rarely",1277,"R&D",15,1,"Medical Sciences",2,"Male",56,3,3,"Manager",3,"Married",13610,24619,7,"Yes",12,3,4,0,15,2,4,7,6,7,7
"437",33,"Yes","Travel Rarely",587,"R&D",10,1,"Medical Sciences",1,"Male",38,1,1,"Laboratory Technician",4,"Divorced",3408,6705,7,"No",13,3,3,3,8,2,3,4,3,1,3
"438",30,"No","Travel Rarely",413,"Sales",7,1,"Marketing",4,"Male",57,3,1,"Sales Representative",2,"Single",2983,19555,0,"No",14,3,1,0,4,3,3,3,2,1,2
"439",35,"No","Travel Rarely",1276,"R&D",16,3,"Life Sciences",4,"Male",72,3,3,"Healthcare Representative",3,"Married",7632,14295,4,"Yes",12,3,3,0,10,2,3,8,7,0,0
"440",31,"Yes","Travel Frequently",534,"R&D",20,3,"Life Sciences",1,"Male",66,3,3,"Healthcare Representative",3,"Married",9824,22908,3,"No",12,3,1,0,12,2,3,1,0,0,0
"441",34,"Yes","Travel Frequently",988,"HR",23,3,"HR",2,"Female",43,3,3,"HR",1,"Divorced",9950,11533,9,"Yes",15,3,3,3,11,2,3,3,2,0,2
"442",42,"No","Travel Frequently",1474,"R&D",3,2,"Other",2,"Male",97,3,1,"Laboratory Technician",3,"Married",2093,9260,4,"No",17,3,4,1,8,4,3,2,2,2,0
"443",36,"No","Non Travel",635,"Sales",10,4,"Medical Sciences",2,"Male",32,3,3,"Sales Executive",4,"Single",9980,12278,1,"No",14,3,4,0,10,3,2,10,3,9,7
"444",22,"Yes","Travel Frequently",1368,"R&D",4,1,"Technical",3,"Male",99,2,1,"Laboratory Technician",3,"Single",3894,9129,5,"No",16,3,3,0,4,3,3,2,2,1,2
"445",48,"No","Travel Rarely",163,"Sales",2,5,"Marketing",2,"Female",37,3,2,"Sales Executive",4,"Married",4051,19658,2,"No",14,3,1,1,14,2,3,9,7,6,7
"446",55,"No","Travel Rarely",1117,"Sales",18,5,"Life Sciences",1,"Female",83,3,4,"Manager",2,"Single",16835,9873,3,"No",23,4,4,0,37,2,3,10,9,7,7
"447",28,"No","Non Travel",267,"Sales",10,2,"Life Sciences",4,"Male",56,3,2,"Sales Executive",4,"Single",6230,13430,1,"No",14,3,4,0,16,3,3,14,3,1,10
"448",35,"No","Travel Rarely",619,"Sales",1,3,"Marketing",2,"Male",85,3,2,"Sales Executive",3,"Divorced",4717,18659,9,"No",11,3,3,0,15,2,3,11,9,1,9
"449",40,"No","Travel Rarely",302,"R&D",6,3,"Life Sciences",2,"Female",75,3,4,"Manufacturing Director",3,"Single",13237,20364,7,"No",15,3,3,0,22,3,3,20,6,5,13
"450",39,"No","Travel Frequently",443,"R&D",8,1,"Life Sciences",3,"Female",48,3,1,"Laboratory Technician",3,"Married",3755,17872,1,"No",11,3,1,1,8,3,3,8,3,0,7
"451",31,"No","Travel Rarely",828,"Sales",2,1,"Life Sciences",2,"Male",77,3,2,"Sales Executive",4,"Single",6582,8346,4,"Yes",13,3,3,0,10,2,4,6,0,0,5
"452",42,"No","Travel Rarely",319,"R&D",24,3,"Medical Sciences",4,"Male",56,3,3,"Manufacturing Director",1,"Married",7406,6950,1,"Yes",21,4,4,1,10,5,2,10,9,5,8
"453",45,"No","Travel Rarely",561,"Sales",2,3,"Other",4,"Male",61,3,2,"Sales Executive",2,"Married",4805,16177,0,"No",19,3,2,1,9,3,4,8,7,3,7
"454",26,"Yes","Travel Frequently",426,"HR",17,4,"Life Sciences",1,"Female",58,3,1,"HR",3,"Divorced",2741,22808,0,"Yes",11,3,2,1,8,2,2,7,7,1,0
"455",29,"No","Travel Rarely",232,"R&D",19,3,"Technical",4,"Male",34,3,2,"Manufacturing Director",4,"Divorced",4262,22645,4,"No",12,3,2,2,8,2,4,7,2,1,2
"456",33,"No","Travel Rarely",922,"R&D",1,5,"Medical Sciences",1,"Female",95,4,4,"Research Director",3,"Divorced",16184,22578,4,"No",19,3,3,1,10,2,3,6,1,0,5
"457",51,"No","Travel Rarely",688,"Sales",7,3,"Life Sciences",3,"Male",44,2,3,"Manager",4,"Divorced",11557,25291,9,"No",21,4,3,1,10,3,2,5,4,0,1
"458",18,"Yes","Travel Frequently",1306,"Sales",4,3,"Marketing",2,"Male",69,3,1,"Sales Representative",2,"Single",1878,8059,1,"Yes",14,3,4,0,1,3,3,0,0,0,0
"459",40,"No","Non Travel",1094,"Sales",28,3,"Other",3,"Male",58,1,3,"Sales Executive",1,"Divorced",10932,11373,3,"No",15,3,3,1,20,2,3,1,0,0,1
"460",41,"No","Non Travel",509,"R&D",2,4,"Other",1,"Female",62,2,2,"Healthcare Representative",3,"Single",6811,2112,2,"Yes",17,3,1,0,10,3,3,8,7,0,7
"461",26,"No","Travel Rarely",775,"Sales",12,2,"Medical Sciences",1,"Male",45,3,2,"Sales Executive",3,"Divorced",4306,4267,5,"No",12,3,1,2,8,5,3,0,0,0,0
"462",35,"No","Travel Rarely",195,"Sales",1,3,"Medical Sciences",1,"Female",80,3,2,"Sales Executive",3,"Single",4859,6698,1,"No",16,3,4,0,5,3,3,5,4,0,3
"463",34,"No","Travel Rarely",258,"Sales",21,4,"Life Sciences",4,"Male",74,4,2,"Sales Executive",4,"Single",5337,19921,1,"No",12,3,4,0,10,3,3,10,7,5,7
"464",26,"Yes","Travel Rarely",471,"R&D",24,3,"Technical",3,"Male",66,1,1,"Laboratory Technician",4,"Single",2340,23213,1,"Yes",18,3,2,0,1,3,1,1,0,0,0
"465",37,"No","Travel Rarely",799,"R&D",1,3,"Technical",2,"Female",59,3,3,"Manufacturing Director",4,"Single",7491,23848,4,"No",17,3,4,0,12,3,4,6,5,1,2
"466",46,"No","Travel Frequently",1034,"R&D",18,1,"Medical Sciences",1,"Female",86,3,3,"Healthcare Representative",3,"Married",10527,8984,5,"No",11,3,4,0,28,3,2,2,2,1,2
"467",41,"No","Travel Rarely",1276,"Sales",2,5,"Life Sciences",2,"Female",91,3,4,"Manager",1,"Married",16595,5626,7,"No",16,3,2,1,22,2,3,18,16,11,7
"468",37,"No","Non Travel",142,"Sales",9,3,"Medical Sciences",1,"Male",69,3,3,"Sales Executive",2,"Divorced",8834,24666,1,"No",13,3,4,1,9,6,3,9,5,7,7
"469",52,"No","Travel Rarely",956,"R&D",6,2,"Technical",4,"Male",78,3,2,"Research Scientist",1,"Divorced",5577,22087,3,"Yes",12,3,2,2,18,3,2,10,9,6,9
"470",32,"Yes","Non Travel",1474,"Sales",11,4,"Other",4,"Male",60,4,2,"Sales Executive",3,"Married",4707,23914,8,"No",12,3,4,0,6,2,3,4,2,1,2
"471",24,"No","Travel Frequently",535,"Sales",24,3,"Medical Sciences",4,"Male",38,3,1,"Sales Representative",4,"Married",2400,5530,0,"No",13,3,3,2,3,3,3,2,2,2,1
"472",38,"No","Travel Rarely",1495,"R&D",10,3,"Medical Sciences",3,"Female",76,3,2,"Healthcare Representative",3,"Married",9824,22174,3,"No",19,3,3,1,18,4,3,1,0,0,0
"473",37,"No","Travel Rarely",446,"R&D",1,4,"Life Sciences",2,"Female",65,3,2,"Manufacturing Director",2,"Married",6447,15701,6,"No",12,3,2,1,8,2,2,6,5,4,3
"474",49,"No","Travel Rarely",1245,"R&D",18,4,"Life Sciences",4,"Male",58,2,5,"Manager",3,"Divorced",19502,2125,1,"Yes",17,3,3,1,31,5,3,31,9,0,9
"475",24,"No","Travel Rarely",691,"R&D",23,3,"Medical Sciences",2,"Male",89,4,1,"Research Scientist",4,"Married",2725,21630,5,"Yes",11,3,2,2,6,3,3,6,5,1,4
"476",26,"No","Travel Rarely",703,"Sales",28,2,"Marketing",1,"Male",66,3,2,"Sales Executive",2,"Married",6272,7428,1,"No",20,4,4,2,6,5,4,5,3,1,4
"477",24,"No","Travel Rarely",823,"R&D",17,2,"Other",4,"Male",94,2,1,"Laboratory Technician",2,"Married",2127,9100,1,"No",21,4,4,1,1,2,3,1,0,0,0
"478",50,"No","Travel Frequently",261,"HR",3,3,"Medical Sciences",1,"Male",99,3,5,"Manager",2,"Married",18200,7999,1,"No",11,3,3,1,32,2,3,32,5,10,7
"479",25,"No","Travel Rarely",622,"Sales",13,1,"Medical Sciences",2,"Male",40,3,1,"Sales Representative",3,"Married",2096,26376,1,"No",11,3,3,0,7,1,3,7,4,0,6
"480",24,"Yes","Travel Frequently",1287,"R&D",7,2,"Life Sciences",1,"Female",55,3,1,"Laboratory Technician",3,"Married",2886,14168,1,"Yes",16,3,4,1,6,4,3,6,3,1,2
"481",30,"Yes","Travel Frequently",448,"Sales",12,4,"Life Sciences",2,"Male",74,2,1,"Sales Representative",1,"Divorced",2033,14470,1,"No",18,3,3,1,1,2,4,1,0,0,0
"482",34,"No","Travel Rarely",254,"R&D",1,2,"Life Sciences",2,"Male",83,2,1,"Research Scientist",4,"Married",3622,22794,1,"Yes",13,3,4,1,6,3,3,6,5,1,3
"483",31,"Yes","Travel Rarely",1365,"Sales",13,4,"Medical Sciences",2,"Male",46,3,2,"Sales Executive",1,"Divorced",4233,11512,2,"No",17,3,3,0,9,2,1,3,1,1,2
"484",35,"No","Travel Rarely",538,"R&D",25,2,"Other",1,"Male",54,1,2,"Laboratory Technician",4,"Single",3681,14004,4,"No",14,3,4,0,9,3,3,3,2,0,2
"485",31,"No","Travel Rarely",525,"Sales",6,4,"Medical Sciences",1,"Male",66,4,2,"Sales Executive",4,"Divorced",5460,6219,4,"No",22,4,4,2,13,4,4,7,7,5,7
"486",27,"No","Travel Rarely",798,"R&D",6,4,"Medical Sciences",1,"Female",66,2,1,"Research Scientist",3,"Divorced",2187,5013,0,"No",12,3,3,2,6,5,2,5,3,1,3
"487",37,"No","Travel Rarely",558,"Sales",2,3,"Medical Sciences",4,"Male",75,3,2,"Sales Executive",3,"Married",9602,3010,4,"Yes",11,3,3,1,17,3,2,3,0,1,0
"488",20,"No","Travel Rarely",959,"R&D",1,3,"Life Sciences",4,"Female",83,2,1,"Research Scientist",2,"Single",2836,11757,1,"No",13,3,4,0,1,0,4,1,0,0,0
"489",42,"No","Travel Rarely",694,"R&D",2,4,"Life Sciences",3,"Female",81,3,2,"Healthcare Representative",4,"Married",4089,5718,1,"No",13,3,2,2,10,4,3,10,2,2,2
"490",43,"No","Travel Rarely",782,"R&D",6,4,"Other",2,"Male",50,2,4,"Research Director",4,"Divorced",16627,8509,4,"Yes",14,3,3,1,21,3,2,1,0,0,0
"491",38,"No","Travel Rarely",362,"R&D",1,1,"Life Sciences",3,"Female",43,3,1,"Research Scientist",1,"Single",2619,14561,3,"No",17,3,4,0,8,3,2,0,0,0,0
"492",43,"No","Travel Frequently",1001,"R&D",9,5,"Medical Sciences",4,"Male",72,3,2,"Laboratory Technician",3,"Divorced",5679,19627,3,"Yes",13,3,2,1,10,3,3,8,7,4,7
"493",48,"No","Travel Rarely",1217,"R&D",1,4,"Life Sciences",4,"Female",40,2,4,"Manager",1,"Married",15402,17997,7,"No",11,3,1,1,21,3,1,3,2,0,2
"494",44,"No","Travel Rarely",601,"HR",1,4,"Life Sciences",1,"Female",50,2,2,"HR",3,"Single",5985,26894,4,"Yes",11,3,2,0,10,1,4,2,2,0,2
"495",34,"No","Travel Rarely",204,"Sales",14,3,"Technical",3,"Female",31,3,1,"Sales Representative",3,"Divorced",2579,2912,1,"Yes",18,3,4,2,8,3,3,8,2,0,6
"496",27,"Yes","Travel Rarely",1420,"Sales",2,1,"Marketing",3,"Male",85,3,1,"Sales Representative",1,"Divorced",3041,16346,0,"No",12,3,2,1,5,3,3,4,3,0,2
"497",21,"No","Travel Rarely",1343,"Sales",22,1,"Technical",3,"Male",49,3,1,"Sales Representative",3,"Single",3447,24444,1,"No",11,3,3,0,3,2,3,3,2,1,2
"498",44,"No","Travel Rarely",1315,"R&D",3,4,"Other",4,"Male",35,3,5,"Manager",4,"Married",19513,9358,4,"Yes",12,3,1,1,26,2,4,2,2,0,1
"499",22,"No","Travel Rarely",604,"R&D",6,3,"Medical Sciences",1,"Male",69,3,1,"Research Scientist",3,"Married",2773,12145,0,"No",20,4,4,0,3,3,3,2,2,2,2
"500",33,"No","Travel Rarely",1216,"Sales",8,4,"Marketing",3,"Male",39,3,2,"Sales Executive",3,"Divorced",7104,20431,0,"No",12,3,4,1,6,3,3,5,0,1,2
"501",32,"No","Travel Rarely",646,"R&D",9,4,"Life Sciences",1,"Female",92,3,2,"Research Scientist",4,"Married",6322,18089,1,"Yes",12,3,4,1,6,2,2,6,4,0,5
"502",30,"No","Travel Frequently",160,"R&D",3,3,"Medical Sciences",3,"Female",71,3,1,"Research Scientist",3,"Divorced",2083,22653,1,"No",20,4,3,1,1,2,3,1,0,0,0
"503",53,"No","Travel Rarely",238,"Sales",1,1,"Medical Sciences",3,"Female",34,3,2,"Sales Executive",1,"Single",8381,7507,7,"No",20,4,4,0,18,2,4,14,7,8,10
"504",34,"No","Travel Rarely",1397,"R&D",1,5,"Life Sciences",2,"Male",42,3,1,"Research Scientist",4,"Married",2691,7660,1,"No",12,3,4,1,10,4,2,10,9,8,8
"505",45,"Yes","Travel Frequently",306,"Sales",26,4,"Life Sciences",4,"Female",100,3,2,"Sales Executive",1,"Married",4286,19788,2,"No",14,3,4,2,5,4,3,1,1,0,0
"506",26,"No","Travel Rarely",991,"R&D",6,3,"Life Sciences",3,"Female",71,3,1,"Laboratory Technician",4,"Married",3730,17759,1,"Yes",13,3,3,1,3,3,3,3,2,0,2
"507",37,"No","Travel Rarely",482,"R&D",3,3,"Other",3,"Male",36,3,3,"Manufacturing Director",3,"Married",9434,9606,1,"No",15,3,3,1,10,2,3,9,7,7,8
"508",29,"No","Travel Rarely",1176,"Sales",3,2,"Medical Sciences",2,"Female",62,3,2,"Sales Executive",3,"Married",6142,3487,1,"No",14,3,1,1,6,5,2,6,0,1,2
"509",35,"No","Travel Rarely",1017,"R&D",6,4,"Life Sciences",2,"Male",82,1,2,"Research Scientist",4,"Single",6646,19368,1,"No",13,3,2,0,17,3,3,17,11,11,8
"510",33,"No","Travel Frequently",1296,"R&D",6,3,"Life Sciences",3,"Male",30,3,2,"Healthcare Representative",4,"Divorced",7725,5335,3,"No",23,4,3,1,15,2,1,13,11,4,7
"511",54,"No","Travel Rarely",397,"HR",19,4,"Medical Sciences",3,"Male",88,3,3,"HR",2,"Married",10725,6729,2,"No",15,3,3,1,16,1,4,9,7,7,1
"512",36,"No","Travel Rarely",913,"R&D",9,2,"Medical Sciences",2,"Male",48,2,2,"Manufacturing Director",2,"Divorced",8847,13934,2,"Yes",11,3,3,1,13,2,3,3,2,0,2
"513",27,"No","Travel Rarely",1115,"R&D",3,4,"Medical Sciences",1,"Male",54,2,1,"Research Scientist",4,"Single",2045,15174,0,"No",13,3,4,0,5,0,3,4,2,1,1
"514",20,"Yes","Travel Rarely",1362,"R&D",10,1,"Medical Sciences",4,"Male",32,3,1,"Research Scientist",3,"Single",1009,26999,1,"Yes",11,3,4,0,1,5,3,1,0,1,1
"515",33,"Yes","Travel Rarely",1076,"R&D",3,3,"Life Sciences",1,"Male",70,3,1,"Research Scientist",1,"Single",3348,17674,1,"Yes",11,3,1,0,10,3,3,10,8,9,7
"516",35,"No","Non Travel",727,"R&D",3,3,"Life Sciences",3,"Male",41,2,1,"Laboratory Technician",3,"Married",1281,16900,1,"No",18,3,3,2,1,3,3,1,0,0,0
"517",23,"No","Travel Rarely",885,"R&D",4,3,"Medical Sciences",1,"Male",58,4,1,"Research Scientist",1,"Married",2819,8544,2,"No",16,3,1,1,5,3,4,3,2,0,2
"518",25,"No","Travel Rarely",810,"Sales",8,3,"Life Sciences",4,"Male",57,4,2,"Sales Executive",2,"Married",4851,15678,0,"No",22,4,3,1,4,4,3,3,2,1,2
"519",38,"No","Travel Rarely",243,"Sales",7,4,"Marketing",4,"Female",46,2,2,"Sales Executive",4,"Single",4028,7791,0,"No",20,4,1,0,8,2,3,7,7,0,5
"520",29,"No","Travel Frequently",806,"R&D",1,4,"Life Sciences",2,"Male",76,1,1,"Research Scientist",4,"Divorced",2720,18959,1,"No",18,3,4,1,10,5,3,10,7,2,8
"521",48,"No","Travel Rarely",817,"Sales",2,1,"Marketing",2,"Male",56,4,2,"Sales Executive",2,"Married",8120,18597,3,"No",12,3,4,0,12,3,3,2,2,2,2
"522",27,"No","Travel Frequently",1410,"Sales",3,1,"Medical Sciences",4,"Female",71,4,2,"Sales Executive",4,"Divorced",4647,16673,1,"Yes",20,4,2,2,6,3,3,16,5,0,4
"523",37,"No","Travel Rarely",1225,"R&D",10,2,"Life Sciences",4,"Male",80,4,1,"Research Scientist",4,"Single",4680,15232,3,"No",17,3,1,0,4,2,3,1,0,0,0
"524",50,"No","Travel Rarely",1207,"R&D",28,1,"Medical Sciences",4,"Female",74,4,1,"Laboratory Technician",3,"Married",3221,3297,1,"Yes",11,3,3,3,20,3,3,20,8,3,8
"525",34,"No","Travel Rarely",1442,"R&D",9,3,"Medical Sciences",4,"Female",46,2,3,"Healthcare Representative",2,"Single",8621,17654,1,"No",14,3,2,0,9,3,4,8,7,7,7
"526",24,"Yes","Travel Rarely",693,"Sales",3,2,"Life Sciences",1,"Female",65,3,2,"Sales Executive",3,"Single",4577,24785,9,"No",14,3,1,0,4,3,3,2,2,2,0
"527",39,"No","Travel Rarely",408,"R&D",2,4,"Technical",4,"Female",80,2,2,"Healthcare Representative",3,"Single",4553,20978,1,"No",11,3,1,0,20,4,3,20,7,11,10
"528",32,"No","Travel Rarely",929,"Sales",10,3,"Marketing",4,"Male",55,3,2,"Sales Executive",4,"Single",5396,21703,1,"No",12,3,4,0,10,2,2,10,7,0,8
"529",50,"Yes","Travel Frequently",562,"Sales",8,2,"Technical",2,"Male",50,3,2,"Sales Executive",3,"Married",6796,23452,3,"Yes",14,3,1,1,18,4,3,4,2,1,3
"530",38,"No","Travel Rarely",827,"R&D",1,4,"Life Sciences",2,"Female",33,4,2,"Healthcare Representative",4,"Single",7625,19383,0,"No",13,3,3,0,10,4,2,9,7,1,8
"532",32,"No","Travel Rarely",1018,"R&D",3,2,"Life Sciences",3,"Female",39,3,3,"Research Director",4,"Single",11159,19373,3,"No",15,3,4,0,10,6,3,7,7,7,7
"533",47,"No","Travel Rarely",703,"Sales",14,4,"Marketing",4,"Male",42,3,2,"Sales Executive",1,"Single",4960,11825,2,"No",12,3,4,0,20,2,3,7,7,1,9
"534",40,"No","Travel Frequently",580,"Sales",5,4,"Life Sciences",4,"Male",48,2,3,"Sales Executive",1,"Married",10475,23772,5,"Yes",21,4,3,1,20,2,3,18,13,1,12
"535",53,"No","Travel Rarely",970,"R&D",7,3,"Life Sciences",3,"Male",59,4,4,"Research Director",3,"Married",14814,13514,3,"No",19,3,3,0,32,3,3,5,1,1,3
"536",41,"No","Travel Rarely",427,"HR",10,4,"HR",2,"Male",73,2,5,"Manager",4,"Divorced",19141,8861,3,"No",15,3,2,3,23,2,2,21,6,12,6
"537",32,"No","Travel Rarely",1179,"Sales",16,4,"Marketing",1,"Male",84,3,2,"Sales Executive",1,"Single",5405,11924,8,"No",14,3,4,0,10,1,3,2,2,2,2
"538",27,"No","Travel Frequently",294,"R&D",10,2,"Life Sciences",4,"Male",32,3,3,"Manufacturing Director",1,"Divorced",8793,4809,1,"No",21,4,3,2,9,4,2,9,7,1,7
"539",41,"No","Travel Rarely",314,"HR",1,3,"HR",4,"Male",59,2,5,"Manager",3,"Married",19189,19562,1,"No",12,3,2,1,22,3,3,22,7,2,10
"540",50,"No","Travel Rarely",316,"Sales",8,4,"Marketing",4,"Male",54,3,1,"Sales Representative",2,"Married",3875,9983,7,"No",15,3,4,1,4,2,3,2,2,2,2
"541",28,"Yes","Travel Rarely",654,"R&D",1,2,"Life Sciences",1,"Female",67,1,1,"Research Scientist",2,"Single",2216,3872,7,"Yes",13,3,4,0,10,4,3,7,7,3,7
"542",36,"No","Non Travel",427,"R&D",8,3,"Life Sciences",3,"Female",63,4,3,"Research Director",1,"Married",11713,20335,9,"No",14,3,1,1,10,2,3,8,7,0,5
"543",38,"No","Travel Rarely",168,"R&D",1,3,"Life Sciences",3,"Female",81,3,3,"Manufacturing Director",3,"Single",7861,15397,4,"Yes",14,3,2,0,10,4,4,1,0,0,0
"544",44,"No","Non Travel",381,"R&D",24,3,"Medical Sciences",1,"Male",49,1,1,"Laboratory Technician",3,"Single",3708,2104,2,"No",14,3,3,0,9,5,3,5,2,1,4
"545",47,"No","Travel Frequently",217,"Sales",3,3,"Medical Sciences",4,"Female",49,3,4,"Sales Executive",3,"Divorced",13770,10225,9,"Yes",12,3,4,2,28,2,2,22,2,11,13
"546",30,"No","Travel Rarely",501,"Sales",27,5,"Marketing",3,"Male",99,3,2,"Sales Executive",4,"Divorced",5304,25275,7,"No",23,4,4,1,10,2,2,8,7,7,7
"547",29,"No","Travel Rarely",1396,"Sales",10,3,"Life Sciences",3,"Male",99,3,1,"Sales Representative",3,"Single",2642,2755,1,"No",11,3,3,0,1,6,3,1,0,0,0
"548",42,"Yes","Travel Frequently",933,"R&D",19,3,"Medical Sciences",3,"Male",57,4,1,"Laboratory Technician",3,"Divorced",2759,20366,6,"Yes",12,3,4,0,7,2,3,2,2,2,2
"549",43,"No","Travel Frequently",775,"Sales",15,3,"Life Sciences",4,"Male",47,2,2,"Sales Executive",4,"Married",6804,23683,3,"No",18,3,3,1,7,5,3,2,2,2,2
"550",34,"No","Travel Rarely",970,"R&D",8,2,"Medical Sciences",2,"Female",96,3,2,"Healthcare Representative",3,"Single",6142,7360,3,"No",11,3,4,0,10,2,3,5,1,4,3
